id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
144,Elijah Craig Barrel Proof Batch A119,750,69.98,67.1,Bourbon,,4799.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/e8a7bf5c-a951-4056-89d7-f3c0a146aa8c,104.95,91.89,4799.0,,0.0,,,SpiritBottle
145,Barrell Bourbon Infinite Barrel Project,750,64.41,65.0,Bourbon,,882.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recPjL9sPWyG6o4Gj,65.4,68.37,882.0,,0.0,,2025-05-09 14:21:01,SpiritBottle
146,Skyy Barcraft White Sangria Vodka,750,9.59,30.0,Vodka,,0.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXdz9D3BvJErVwF,10.36,10.74,0.0,,0.0,,,SpiritBottle
147,Four Roses Bourbon,750,22.42,40.0,Bourbon,,1302.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8siZvLqRufvoyB,23.515,26.8,1302.0,,0.0,,,SpiritBottle
148,Christian Brothers VS,750,10.99,40.0,Brandy,,47.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recOZFlqvz42oqutt,11.76,12.2,47.0,,0.0,,,SpiritBottle
149,Woodford Reserve Double Oaked,375,29.39,45.2,Bourbon,,864.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec07GpCq9Xz1RtV6,30.74,32.99,864.0,,0.0,,2025-05-11 07:30:07,SpiritBottle
150,1792 Full Proof,750,59.99,62.5,Bourbon,,150038.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recVcP95KH4To384H,60.39,61.59,150038.0,,0.0,,,SpiritBottle
151,Smirnoff Green Apple,1000,16.99,30.0,Vodka,,14.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/93bc12c7-4440-4522-82f3-c5a710aefeb2,17.84,18.52,14.0,,0.0,,,SpiritBottle
152,Old Forester Batch Proof,750,150.0,63.2,Bourbon,,232.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0EyCyTLSEONlCk,176.55,249.99,232.0,,0.0,,,SpiritBottle
154,Belle Meade Cognac Cask Finish,750,73.54,45.2,Bourbon,,129.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0UO4sRpGRTrofL,114.65,80.0,129.0,,0.0,,,SpiritBottle
155,Hennessy VS,750,40.47,40.0,Cognac,,204.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recPqdGYPAa7oiYHE,50.15,43.67,204.0,,0.0,,,SpiritBottle
157,Absolut Juice Strawberry,750,18.99,35.0,Vodka,,2.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rece0BzqCsU5B6pC1,20.51,21.27,2.0,,0.0,,,SpiritBottle
158,Weller Antique 107,750,49.99,53.5,Bourbon,,150208.0,https://assets.baxus.co/8473/8473.jpg,62.4875,99.98,150208.0,,0.0,,,SpiritBottle
159,Blanton's Gold Edition,750,129.99,51.5,Bourbon,,150132.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec4yIwUce6C3kD9K,162.44,259.79,150132.0,,0.0,,,SpiritBottle
162,J.P. Wiser's 15 Year,750,44.97,40.0,Canadian Whisky,,46.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8NxgEgsI5Rw6gM,48.57,50.37,46.0,,0.0,,,SpiritBottle
168,Peerless Rye Single Barrel,750,109.48,55.0,Rye,,486.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8mNjAYo8oGzhV9,164.48,125.99,486.0,,0.0,,,SpiritBottle
169,Bowmore 27 Year Vintner's,750,624.97,43.0,Scotch,,3.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8m8JZUK47IP67t,674.97,699.97,3.0,,0.0,,,SpiritBottle
170,Cat's Eye Distillery Krupnik Whiskey,750,24.98,32.2,Whiskey,,6.0,https://storage.googleapis.com/user_bottles_prod/catseye.jpg,26.98,27.98,6.0,,0.0,,,SpiritBottle
174,Evan Williams 1783,750,18.12,43.0,Bourbon,,668.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8qB6xfjCGVdJXE,19.67,24.32,668.0,,0.0,,,SpiritBottle
175,Rich & Rare Caramel,750,8.56,35.0,Canadian Whisky,,0.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8rYF6kcUjmPcHf,8.82,9.15,0.0,,0.0,,,SpiritBottle
176,Glenglassaugh Torfa,750,57.99,50.0,Scotch,,7.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/85226f10-e4c2-4506-8d24-2a456486e7a2,62.05,63.79,7.0,,0.0,,,SpiritBottle
182,Convalmore 32 Year,750,1266.33,48.0,Scotch,,0.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/2b313e3e-4af7-421e-a087-b91969c238d7,1367.64,1418.29,0.0,,0.0,,,SpiritBottle
183,Ole Smoky Peppermint Moonshine,750,22.63,50.0,Whiskey,,12.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8yVmOrXoKZngWF,22.66,23.5,12.0,,0.0,,,SpiritBottle
184,Belle Meade Cask Strength Reserve Bourbon,750,56.69,54.0,Bourbon,,2092.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8ypD0R8Z2lM8jz,59.815,69.19,2092.0,,0.0,,2025-04-23 10:19:34,SpiritBottle
185,Ransom Rye Barley Wheat,750,49.57,0.5,Whiskey,,6.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/fc7a9661-fef6-4731-8713-190eef886d15,53.54,55.52,6.0,,0.0,,,SpiritBottle
189,Old Forester Birthday Bourbon 2016,750,80.85,48.5,Bourbon,,201.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8CbUMPr65EHxhB,332.54,1643.66,201.0,,0.0,,,SpiritBottle
190,Jeremiah Weed Spiced Whiskey,750,16.82,35.3,Whiskey,,11.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/b1cdd986-47da-483a-85d5-9b7b0cfb0266,18.17,18.84,11.0,,0.0,,,SpiritBottle
192,Dewar's 15 Year Reserve Scotch,750,39.97,40.0,Scotch,,10.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8Cu6Al0gM8VV7H,43.17,44.77,10.0,,0.0,,,SpiritBottle
194,Parker's Heritage 27 Year Bourbon,750,202.14,55.0,Bourbon,,77.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8Dk0jApqxuq4T7,349.99,499.99,77.0,,0.0,,,SpiritBottle
195,Glenrothes 10 Year,750,50.97,40.0,Scotch,,22.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8E3jobrFk18psL,57.21,55.96,22.0,,0.0,,,SpiritBottle
197,Paul John Nirvana Whiskey,750,29.99,40.0,Whiskey,,29.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8EHMXmtrpUwEzG,31.79,32.99,29.0,,0.0,,,SpiritBottle
198,Knob Creek Bourbon with Old Fashioned Kit,750,33.99,50.0,Bourbon,,11.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8HRYQDw965mZ5O,36.71,38.07,11.0,,0.0,,,SpiritBottle
200,Whistling Andy Straight Bourbon,750,22.45,0.5,Bourbon,,17.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/6700afbf-4900-4440-b607-eb1f1e263b67,24.25,25.14,17.0,,0.0,,,SpiritBottle
201,Wild Turkey Bourbon,750,20.81,40.5,Bourbon,,353.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/aa31dc60-c39d-4dee-8e29-52206eb636f3,28.25,22.81,353.0,,0.0,,,SpiritBottle
203,Penderyn Myth,750,69.99,43.0,Scotch,,16.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/0d0c183d-1e2b-489a-b428-4b131a82567c,74.19,76.99,16.0,,0.0,,,SpiritBottle
204,Ballotin Chocolate Mint Bourbon,750,25.65,30.0,Whiskey,,31.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8KPZ6XhMvwy6W7,27.7,27.73,31.0,,0.0,,,SpiritBottle
206,Tomatin 21 Year Bourbon Barrels,750,249.99,46.0,Scotch,,5.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8WhtxMRKXsUJEK,264.99,274.99,5.0,,0.0,,,SpiritBottle
209,Wathen's Single Barrel,750,37.2,47.0,Bourbon,,411.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8YvwIZP06PY22T,68.04,41.04,411.0,,0.0,,,SpiritBottle
210,Tyrconnell Port Cask,750,79.97,46.0,Irish Whiskey,,17.0,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8ZnRnZeMlm1pDB,86.37,89.57,17.0,,0.0,,,SpiritBottle
